type,q4,q6
0,0.000271075,0.000333494
0,0.00106313,0.00307624
0,0.00194335,0.0018409
0,0.000634724,0.00416845
0,0.000503136,0.00369252
0,0.000605342,0.00121615
0,0.00165191,0.00117227
0,0.00298237,0.00128904
0,0.000705584,0.00200541
0,0.00108792,0.00242993
0,0.000485883,0.00294677
0,0.00119803,0.00083199
0,0.00121049,0.000892263
0,0.00174887,0.00193651
0,0.000311061,0.00126531
0,0.00023745,0.00302218
0,0.00227135,0.00593264
0,0.00350708,0.00528281
0,0.0020252,0.00131727
0,0.000982643,0.00223235
0,0.00153174,0.00437047
0,0.000812652,0.00252503
0,0.00112269,0.0054238
0,0.000988929,0.00490668
0,0.000125027,0.00241268
0,0.00164751,0.00217349
0,0.00206714,0.00152387
0,0.000148887,0.0012413
0,9.27E-05,0.00303818
0,0.00173081,0.00181247
0,0.00154029,0.0021438
0,0.00119829,0.00269623
0,0.000932953,0.00153115
0,7.41E-05,0.00106133
0,0.00221303,0.00213396
0,0.00321116,0.00173727
0,0.00323733,0.0036959
0,0.00254079,0.00545038
0,0.001871,0.00344369
0,0.00130148,0.00236813
0,0.00117394,0.00321742
0,0.000662752,0.00306871
0,0.00100906,0.00386508
0,0.000467645,0.00453859
0,0.000632449,0.00423474
0,0.00244222,0.00306479
0,0.00219969,0.00360876
0,0.00367037,0.00439929
0,0.00489484,0.00331923
0,0.000376653,0.00373767
0,0.00074792,0.0015224
0,0.000439741,0.000270985
0,0.000608092,0.00350179
0,0.00399547,0.00554327
0,0.00155942,0.00584042
0,0.00365066,0.00333897
0,0.00234903,0.00381141
0,0.004022,0.00258663
0,0.00184453,0.00546615
0,0.00354643,0.00668248
0,0.00188897,0.00264554
0,0.00206857,0.00368181
0,0.00505612,0.00292727
0,0.000983872,0.0002647
0,0.00362717,0.00212388
0,0.00610119,0.00100635
0,0.00352526,0.00155886
0,0.0015168,0.00573216
0,0.000128266,0.00316498
0,0.000115353,0.00386052
0,0.00265598,0.00188659
0,0.00190292,0.000367298
0,0.000331288,0.0020432
0,0.000223206,0.00411704
0,0.00021248,0.00150492
0,0.00159348,0.0026662
0,0.00148482,0.00411457
0,0.00163502,0.00266403
0,0.000490897,0.00354371
0,0.0035383,0.0044798
0,0.00374803,0.00647026
0,0.00771504,0.00722471
0,0.00554486,0.00683264
0,0.00568409,0.00846871
0,0.00105424,0.00817076
0,2.20E-05,0.0041381
0,2.20E-05,0.0041381
0,0.0061147,0.00632196
0,0.00573715,0.00722197
0,0.00317271,0.00516175
0,0.00438867,0.00465594
0,0.00391818,0.00707452
0,0.00398641,0.00598778
0,0.0018646,0.00738346
0,0.000430227,0.00381228
0,0.000246484,0.00385996
0,0.00263889,0.00241593
0,0.000371147,0.00555407
0,0.000759775,0.0074975
0,0.00130327,0.00825413
0,0.00307275,0.0071719
0,0.00400245,0.00893511
0,0.00154018,0.00640181
0,0.00452812,0.00986137
0,0.00199275,0.00692925
0,0.00441086,0.00598416
0,0.00440769,0.00439961
0,0.007916,0.000941441
0,0.00178984,0.00395243
0,0.0032977,0.0074726
0,0.00555088,0.00419643
0,0.00723203,0.000447065
0,0.00545071,0.00370626
0,0.00318188,0.00888171
0,0.0052818,0.0134625
0,0.00378024,0.0121349
0,0.00591129,0.00637483
0,0.00352548,0.00240009
0,0.00603808,0.0108364
0,0.0105569,0.00821689
0,0.0136909,0.0118708
0,0.00372373,0.0132594
0,0.00301779,0.00803234
0,0.00471058,0.0113199
0,0.00538983,0.0123158
0,0.0009201,0.0103176
0,0.00478611,0.00831664
0,0.00413961,0.00316977
0,0.00709713,0.00480293
0,0.0151978,0.00192695
0,0.0180022,0.00215362
